paper_id,title,journal,year,doi,catalyst_type,catalyst_name,pollutant_category,pollutant_name,oxidant,mechanism_category,identified_species,dominant_species,removal_efficiency_pct,reaction_time_min,rate_constant,rate_constant_unit,reusability_cycles,key_active_sites,is_photo_assisted,is_electrochemical
Synergistic-oxidative-removal-of-sulfamethoxazole-usin_2024_Chemical-Enginee,Synergistic oxidative removal of sulfamethoxazole using Ferrate(VI) and peroxymonosulfate,,2024,10.1016/j.cej.2024.151085,Other,Ferrate(VI),Antibiotic,sulfamethoxazole,PMS,Both,SO4•−; •OH,SO4•−,90,15,16.89,min-1,,Fe(VI); Fe(V); Fe(IV); Fe3+,False,False
Synergistic-singlet-oxygen-and-UV-irradiation-for-efficien_2024_Journal-of-H,Synergistic singlet oxygen and UV irradiation for efficient intracellular ARGs removal via peroxymonosulfate/catalytic membrane-UV system,,2024,10.1016/j.jhazmat.2024.136385,Carbon-based,Co3O4@CNT catalytic membrane,Other,intracellular antibiotic resistance genes (iARGs),PMS,Radical,SO4•−; •OH; 1O2; O2•−,1O2,,4.5,,min-1,,,True,False
Synergy-of-Cu-Mn-bimetals-under-nano-confined-cat_2024_Applied-Catalysis-B--,Synergy of Cu-Mn bimetals under nano-confined catalysis in a membrane-based peroxymonosulfate system,Applied Catalysis B: Environmental,2024,10.1016/j.apcatb.2024.123955,Metal oxide,CuO@MnO2/PTFE membrane,Antibiotic,sulfamethoxazole,PMS,Both,SO4•−; •OH; 1O2; O2•−,SO4•− and •OH,98.9,60,0.1268,min-1,5,Cu(II)/Cu(I); Mn(IV)/Mn(III)/Mn(II); oxygen vacancies,False,False
Synergy-of-atomically-dispersed-Co-Fe-pairs-in-nano-_2024_Applied-Catalysis-,Synergy of atomically dispersed Co–Fe pairs in nano-confined catalytic membranes enabling efficient water purification,,2024,10.1016/j.apcatb.2024.124449,SAC,CoFe-DSAC@GO,Pharmaceutical,ranitidine,PMS,Both,SO4•−; •OH; 1O2; O2•−,,100,,24600,min-1,,CoFeN6,False,False
Synthesis-of-ZIF-derived-C-doping-Co3O4--ZnO-membranes_2025_Process-Safety-a,Synthesis of ZIF-derived C-doping Co3O4/ ZnO membranes for enhanced removal of organics by peroxymonosulfate activation under visible-light,,2024,10.1016/j.psep.2024.12.084,MOF-derived,C-doping Co3O4/ZnO,Dye,carmine,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,99.6,10,,min-1,5,Co sites; Zn sites; C-doped sites,True,False
Tailoring-surface-morphology-and-electronic-state-of-Ru-_2025_Separation-and,Tailoring surface morphology and electronic state of Ru/Co3O4 through ammonia borane reduction for boosting peroxymonosulfate to degrade tetracycline,Separation and Purification Technology,2024,10.1016/j.seppur.2024.128648,Metal oxide,Ru/Co3O4@CoBi,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,98,14,0.337,min-1,4,low-valence-state Co²+; oxygen vacancies; Ru nanoparticles,False,False
Temperature-modulated-morphological-changes-in-MIL-88B-Fe--d_2025_Journal-of,Temperature-modulated morphological changes in MIL-88B(Fe)-derived iron-based materials triggering generation of the peroxymonosulfate nonradical pathway to degrade carbamazepine: The key role of iron nanoparticles and C––N,,2024,10.1016/j.jcis.2024.09.102,MOF-derived,MN@C-9,Pharmaceutical,carbamazepine,PMS,Non-radical,1O2; O2•−; Fe(IV)=O,Fe(IV)=O,100,10,0.6198,min-1,4,FeNP; pyrrole N; C=N,False,False
Tetracycline-degradation-by-activated-persulfate-_2024_Journal-of-Environmen,Tetracycline degradation by activated persulfate with enhancement of ZIF-67 loaded wood-microreactor,Journal of Environmental Chemical Engineering,2024,10.1016/j.jece.2024.111901,MOF-derived,ZIF-67@FDNW,Antibiotic,Tetracycline hydrochloride,PMS,Radical,SO4•−; •OH,SO4•−,94,60,,min-1,,Co²+ in ZIF-67,False,False
The-insights-into-facet-dependent-catalytic-performance_2025_Separation-and-,The insights into facet-dependent catalytic performance of Cu2O in peroxymonosulfate activation for effective degradation of antibiotics,,2024,10.1016/j.seppur.2024.128318,Metal oxide,Cu2O-1,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,97.56,15,0.3354,min-1,5,Cu+ sites on (100) facet,False,False
The-overlooked-role-of-different-Fe-N4Cx-configurati_2024_Applied-Catalysis-,The overlooked role of diferent Fe-N4Cx configuration in single atom catalyst for efficient peroxymonosulfate activation,Applied Catalysis B: Environmental,2024,10.1016/j.apcatb.2024.124296,SAC,Fe-N4C12 / Fe-N4C10,Phenolic compound,bisphenol A,PMS,Both,SO4•−; •OH; O2•−; 1O2,,100,20,0.226,min-1,4,Fe-N4 with pyrrolic ligands; Fe-N4 with pyridinic ligands,False,False
The-removal-of-antibiotic-resistance-bacteria-and-genes-and-in_2024_Chemical,The removal of antibiotic resistance bacteria and genes and inhibition of RP4 plasmid-mediated conjugative transfer by citric acid chelated Fe(II) catalyzing peroxymonosulfate systems: Performance and mechanisms,,2024,10.1016/j.cej.2024.156297,Other,Fe(II) chelated by citric acid (Fe(II)-CA),Antibiotic,"Antibiotic resistant bacteria (E. coli DH5α) and antibiotic resistant genes (tetA, tetR, blaTEM-1)",PMS,Radical,SO4•−; •OH; 1O2; O2•−,•OH,,30,2.0753,min-1,,,False,False
The-single-atom-Fe-loaded-catalytic-membrane-for-ef_2024_Applied-Catalysis-B,The single atom Fe loaded catalytic membrane for effective peroxymonosulfate activation and pollution degradation,Applied Catalysis B: Environmental,2024,10.1016/j.apcatb.2024.124243,SAC,Fe SAC,Pesticide,nitenpyram,PMS,Non-radical,1O2; •OH; SO4•−,1O2,90,600,0.07,min-1,,FeN4,False,False
The-surface-asymmetric-site-regulation-of-carbon-nitri_2024_Separation-and-P,The surface asymmetric site regulation of carbon nitride oxide enabling peroxymonosulfate activation for degrading tetracycline,Separation and Purification Technology,2024,10.1016/j.seppur.2024.127211,Carbon-based,CNOR15,Antibiotic,tetracycline,PMS,Non-radical,1O2; O2•−,1O2,100,6,0.489,min-1,7,asymmetric C=O,False,False
Thiophene-based-MOF-induced-active-Co-catalysts-anc_2025_Journal-of-Environm,Thiophene-based MOF induced active Co catalysts anchored on heteroatom doped carbon for efficient Fenton-like catalysis,,2024,10.1016/j.jece.2024.115229,MOF-derived,Co@NSOC-600,Antibiotic,sulfamethoxazole,PMS,Both,O2•−; 1O2,,96.76,4,0.833,min-1,6,Co; CoO; Co9S8,False,False
Ti3C2-based-MXene-anchoring-single-atom-Co-as-a-long-last_2025_Applied-Catal,Ti3C2-based MXene anchoring single-atom Co as a long-lasting peroxymonosulfate activator enabling efficient water decontamination: Deciphering the critical role of titanium vacancies,,2024,10.1016/j.apcatb.2024.124966,SAC,Co-SA/MXene,Pharmaceutical,ranitidine,PMS,Non-radical,SO4•−; •OH; 1O2,1O2,100,20,0.167,min-1,10,Co single-atoms; titanium vacancies,False,False
Trimetallic-MOF-derived-Fe-Mn-Sn-oxide-heterostructur_2025_Journal-of-Colloi,Trimetallic MOF–derived Fe–Mn–Sn oxide heterostructure enabling exceptional catalytic degradation of organic pollutants,,2024,10.1016/j.jcis.2024.10.098,MOF-derived,Fe2O3/Fe3O4/Mn3O4/SnO2 heterostructure (FeMnO@Sn-2),Phenolic compound,Bisphenol A,PMS,Both,SO4•−; •OH; 1O2,,100,5,0.27354,min-1,5,Fe2+; Mn2+; SnO2,False,False
Tubular-nanofiber-membranes-combined-with-Z-scheme-CuS-Co3S4_2024_Journal-of,Tubular nanofiber membranes combined with Z-scheme CuS@Co3S4 heterojunction catalyst for high-efficient removal of polyvinyl alcohol from waste water with high COD,Journal of Hazardous Materials,2024,10.1016/j.jhazmat.2024.136354,MOF-derived,CuS@Co3S4/PMIA-TNM,Other,Polyvinyl alcohol,PMS,Non-radical,1O2; SO4•−; •OH; O2•−,1O2,99.9,5,1.4,min-1,10,Cu(I)/Co(II) bimetallic sites; Z-scheme heterojunction interface,True,False
Ultrafast-decomposition-of-refractory-organics-by-electri_2025_Chemical-Engi,Ultrafast decomposition of refractory organics by electric field enhanced permanganate/peroxymonosulfate process,,2024,10.1016/j.cej.2024.158744,Metal oxide,in-situ generated amorphous MnO2,Pharmaceutical,ibuprofen,PMS,Radical,SO4•−; •OH; O2•−; 1O2,SO4•−,99.56,,0.1269,min-1,,Mn(III)/Mn(IV) cycle; Mn(VII)/Mn(VI) cycle; in-situ MnO2,False,True
Unusually-improved-peracetic-acid-activation-for-ultra_2025_Applied-Catalysi,Unusually improved peracetic acid activation for ultrafast organic compound removal through redox-inert Mg incorporation into active Co3O4,,2024,10.1016/j.apcatb.2024.124601,Metal oxide,Mg-doped cobalt oxide,Antibiotic,sulfamethoxazole,PAA,Radical,CH3C(O)OO•; CoIV-oxo,CH3C(O)OO•,100,3,1.362,min-1,4,CoII sites; surface hydroxyl groups,False,False
Unveiling-the-radical-to-nonradical-pathway-transformati_2025_Applied-Cataly,Unveiling the radical to nonradical pathway transformation in peroxymonosulfate activation by Zn hyperaccumulator-derived biochar pyrolyzed at different temperatures,Applied Catalysis B: Environmental,2024,10.1016/j.apcatb.2024.124982,Biochar,"ZHBC-300, ZHBC-500, ZHBCSA-800",Phenolic compound,Bisphenol A,PMS,Both,SO4•−; •OH; 1O2; O2•−,electron transfer process (ETP),100,30,0.228,min-1,,C-OH and C-OOH groups (ZHBC-300); PFRs and C=O groups (ZHBC-500); Fe-N3O1 single-atom sites (ZHBCSA-800),False,False
Yolk-shell-structured-Co3O4-catalyst-modified-ceramic-membr_2024_Chemical-En,Yolk-shell structured Co3O4 catalyst modified ceramic membrane synergistically improved wastewater purification and membrane fouling mitigation,,2024,10.1016/j.cej.2024.157690,Metal oxide,yolk-shell Co3O4 hollow microspheres,Other,"phenol, bisphenol F, sulfamethoxazole, carbamazepine",PMS,Radical,SO4•−; •OH; 1O2,SO4•− and 1O2,100,,,min-1,6,Co2+,False,False
--Fe2O3-mediated-periodate-activation-for-selective-degrad_2023_Journal-of-H,α-Fe2O3 mediated periodate activation for selective degradation of phenolic compounds via electron transfer pathway under visible irradiation,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.131506,Metal oxide,α-Fe2O3,Phenolic compound,4-chlorophenol,PI,Non-radical,h+,h+,99.3,60,0.1015,min-1,5,photogenerated holes on α-Fe2O3 surface,True,False
2D-2D---Fe2O3-single-layer-MXene-Schottky-photocatalysis-P_2023_Journal-of-A,2D/2D α-Fe2O3/single-layer MXene Schottky photocatalysis-PMS activation bidirectionally enhanced coupling system for environmental remediation,Journal of Alloys and Compounds,2023,10.1016/j.jallcom.2023.168920,Metal oxide,α-Fe2O3/single-layer MXene Ti3C2,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,SO4•−; •OH; 1O2; h+,1O2,98.6,90,0.04613,min-1,5,Schottky junction; photogenerated holes,True,False
A-confined-expansion-pore-making-strategy-to-transform-Z_2023_Journal-of-Col,A confined expansion pore-making strategy to transform Zn-MOF to porous carbon nanofiber for water treatment: Insight into formation and degradation mechanism,,2023,10.1016/j.jcis.2023.08.017,MOF-derived,ZIF-67/MET-6/PAN/C nanofibers,Antibiotic,tetracycline,PMS,Non-radical,1O2; SO4•−,1O2,87.7,20,0.269,min-1,3,Co/N,False,False
A-review-on-superior-advanced-oxidation-and-photocatalytic-de_2023_Environme,A review on superior advanced oxidation and photocatalytic degradation techniques for perfluorooctanoic acid (PFOA) elimination from wastewater,,2023,,,,Other,perfluorooctanoic acid,PMS,Non-radical,1O2,1O2,99.9,120,,min-1,,iron; nitrogen,False,False
A-single-atom-Fe-N-C-catalyst-with-superior-Fenton-like-reac_2023_Applied-Ca,A single-atom Fe-N-C catalyst with superior Fenton-like reaction performance prepared facilely using microalgae: Key roles of oxygen and interactions between Fe-Nx and Fe/Fe compounds,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123135,SAC,Fe-N @ MBC,Antibiotic,sulfamethoxazole,H2O2,Radical,•OH; O2•−; 1O2,,100,30,0.3102,min-1,,Fe-Nx; Fe/Fe compounds,False,False
Accelerated-radical-generation-from-visible-light-driven-perox_2023_Journal-,Accelerated radical generation from visible light driven peroxymonosulfate activation by Bi2MoO6/doped gCN S-scheme heterojunction towards Amoxicillin mineralization: Elucidation of the degradation mechanism,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.131102,MOF-derived,Bi2MoO6 @doped gCN (BMO@CN),Antibiotic,Amoxicillin,PMS,Radical,SO4•−; •OH; O2•−; h+,O2•−,99.9,30,0.176,min-1,5,Co²+/Co³+; Ce³+/Ce⁴+; Bi³+/Bi⁴+; Mo⁴+/Mo⁶+,True,False
Accelerated-sulfate-radical-generation-from-peroxymonosulfa_2023_Chemical-En,Accelerated sulfate radical generation from peroxymonosulfate by ZIF-67-derived Co3O4 encapsulated in g-C3N4: A gift from in situ growth,Chemical Engineering Journal,2023,10.1016/j.cej.2023.141797,MOF-derived,Co3O4@CN,Antibiotic,ciprofloxacin,PMS,Radical,SO4•−; •OH,SO4•−,98.8,60,0.3181,min-1,5,Co2+,False,False
Activation-of-peroxymonosulfate-by-N--S-co-doped-magne_2023_Journal-of-Envir,"Activation of peroxymonosulfate by N, S co-doped magnetic FeCoS for the degradation of ciprofloxacin hydrochloride: Catalytic performance and mechanism",,2023,10.1016/j.jece.2023.110362,Metal oxide,"N, S co-doped magnetic FeCoS",Antibiotic,ciprofloxacin hydrochloride,PMS,Both,SO4•−; •OH; 1O2,1O2,94.3,20,,min-1,6,Co²⁺/Co³⁺; Fe²⁺/Fe³⁺; S²⁻; N-doping,False,False
Activation-of-peroxymonosulfate-by-biochar-in-situ-enriched-_2023_Chemical-E,Activation of peroxymonosulfate by biochar in-situ enriched with cobalt tungstate and cobalt: Insights into the role of rich oxygen vacancies and catalytic mechanism,,2023,10.1016/j.cej.2023.146124,Biochar,BC-Co-W-700,Antibiotic,chlortetracycline,PMS,Non-radical,1O2; O2•−; SO4•−; •OH,1O2,100,18,0.247,min-1,7,oxygen vacancies; pyrrolic N; Co/CoWO4,False,False
Activation-of-peroxymonosulfate-by-food-waste-digestate_2023_Separation-and-,Activation of peroxymonosulfate by food waste digestate derived biochar for sulfamethoxazole degradation: Performance and mechanism,,2023,10.1016/j.seppur.2023.124935,Biochar,food waste digestate derived biochar,Antibiotic,sulfamethoxazole,PMS,Non-radical,1O2; SO4•−; •OH,1O2,90.1,60,0.0301,min-1,5,defects; C=O; pyrrolic N; pyridinic N,False,False
Activation-of-peroxymonosulfate-by-sewage-sludge-derived-bi_2024_Chemical-En,Activation of peroxymonosulfate by sewage sludge-derived biochar to promote short-chain fatty acid production during sludge anaerobic fermentation,Chemical Engineering Journal,2023,10.1016/j.cej.2023.148041,Biochar,sewage sludge-derived biochar,Antibiotic,sulfamethoxazole,PMS,Both,SO4•−; •OH; 1O2,1O2,63,60,0.0148,min-1,,Fe species; C=O groups; Al species,False,False
Activation-of-peroxymonosulfate-for-ciprofloxacin-degradati_2024_Separation-,Activation of peroxymonosulfate for ciprofloxacin degradation by a novel oxygen-deficient CoTiO3/TiO2NTs/Ti composite catalytic membrane: Electron transfer pathway and underlying mechanism,,2023,10.1016/j.seppur.2023.125511,Perovskite,Vo-CoTiO3/TiO2NTs/Ti,Antibiotic,ciprofloxacin,PMS,Both,•OH; SO4•−; O2•−; 1O2,1O2 and O2•−,97.3,60,,min-1,,Co²⁺/Co³⁺; oxygen vacancies; Ti³⁺,False,False
Almost-100---electron-transfer-regime-over-Fe-Co-dual-ato_2023_Applied-Catal,Almost 100% electron transfer regime over Fe-Co dual-atom catalyst toward pollutants removal: Regulation of peroxymonosulfate adsorption mode,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123178,SAC,Fe-Co dual-atom catalyst,Phenolic compound,bisphenol A,PMS,Non-radical,,,100,15,0.23,min-1,5,FeCo-N6 moiety,False,False
An-electron-transfer-tuning-strategy-for-the-efficient-_2023_Journal-of-Envi,An electron transfer tuning strategy for the eficient degradation of tetracycline hydrochloride by Fe-N co-doped carbon materials activated with peroxymonosulfate,,2023,10.1016/j.jece.2023.111576,MOF-derived,0.1Fe/N-C,Antibiotic,tetracycline hydrochloride,PMS,Non-radical,SO4•−; •OH; 1O2,electron transfer (non-radical),88.9,30,0.6315,min-1,4,Fe3C nanoparticles; pyridinic N; graphitic N,False,False
Anchored-Co-oxo-generated-by-cobalt-single-atoms-outperf_2023_Applied-Cataly,Anchored Co-oxo generated by cobalt single atoms outperformed aqueous species from the counterparts in peroxymonosulfate treatment,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.122483,SAC,Co-SA/biochar,Antibiotic,sulfadoxin,PMS,Non-radical,Co=O; 1O2; SO4•−; •OH,Co=O,100,60,,min-1,4,Co-N4,False,False
Anchoring-atomically-dispersed-FeN5-sites-on-porous-and-d_2024_Applied-Catal,Anchoring atomically dispersed FeN5 sites on porous and defect-rich biochar via cascade regulation strategy for eficient Fenton-like catalysis,,2023,10.1016/j.apcatb.2023.123570,SAC,Fe-N-FPBC,Antibiotic,sulfamethoxazole,PMS,Non-radical,,,100,6,4.21,min-1,4,FeN5,False,False
Assembly-of-MOF-derived-composite-catalyst-on-the-PV_2024_Journal-of-Water-P,Assembly of MOF derived composite catalyst on the PVDF membrane matrix for high-efficient phenol removal,,2023,10.1016/j.jwpe.2023.104635,MOF-derived,MnCo2O4.5@Carbon (MCOC),Phenolic compound,phenol,PMS,Non-radical,SO4•−; 1O2,1O2,99,30,0.16574,min-1,5,Co²⁺/Co³⁺; Mn²⁺/Mn³⁺/Mn⁴⁺; graphitic carbon shell,False,False
Atomically-dispersed-Co-Mn-dual-sites-anchored-in-photoresp_2024_Applied-Cat,Atomically dispersed Co-Mn dual sites anchored in photoresponsive carbon nitride mediated peroxymonosulfate activation for elimination of petroleum hydrocarbon in water,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123581,SAC,Co-Mn/CN DACs,Other,n-tetradecane,PMS,Both,SO4•−; •OH; 1O2,,80.0,120,,min-1,5,CoN4; MnN2; Co-Mn dual sites,True,False
Bio-porphyrin-supported-single-atom-iron-catalyst-boosting_2023_Applied-Cata,Bio-porphyrin supported single-atom iron catalyst boosting peroxymonosulfate activation for pollutants degradation: A Singlet Oxygen-dominated nonradical pathway,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123061,SAC,Fe-PAC-2,Antibiotic,sulfamethazine,PMS,Non-radical,1O2,1O2,96.1,60,,min-1,5,Fe-N4; pyrrolic N,False,False
Carbon-doped-Co3O4-MgO-catalyzed-peroxymonosulfate-activati_2023_Chemical-En,Carbon-doped Co3O4-MgO catalyzed peroxymonosulfate activation via an enhanced Co(III)/Co(II) cycle for rapid chloramphenicol degradation,,2023,10.1016/j.cej.2023.142115,Metal oxide,C/Co3O4-MgO,Antibiotic,chloramphenicol,PMS,Radical,•OH; SO4•−; 1O2,•OH,98,15,0.3619,min-1,5,Co(II); Co(III); CoOH+; CO2- groups,False,False
Carbon-nitride-with-a-tailored-electronic-structure-toward_2024_Applied-Cata,Carbon nitride with a tailored electronic structure toward peroxymonosulfate activation: A direct electron transfer mechanism for organic pollutant degradation,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123314,Carbon-based,DMF incorporated graphitic carbon nitride,Phenolic compound,bisphenol A,PMS,Non-radical,,,100,12,,min-1,,,False,False
Catalytic-PMS-oxidation-universality-of-CuFe2O4-MnO2-heter_2024_Environmenta,Catalytic PMS oxidation universality of CuFe2O4/MnO2 heterojunctions at multiple application scenarios,,2023,10.1016/j.envres.2023.117828,Metal oxide,CuFe2O4/MnO2,Antibiotic,tetracycline,PMS,Radical,SO4•−; •OH; 1O2; O2•−,SO4•−,99.02,120,0.035,min-1,4,Mn(IV); Cu2+; Fe3+,True,False
Catalytic-activity-and-reaction-mechanisms-of-single-atom-_2023_Journal-of-H,Catalytic activity and reaction mechanisms of single-atom metals anchored on nitrogen-doped carbons for peroxymonosulfate activation,,2023,10.1016/j.jhazmat.2023.132133,SAC,"M-N/C (M = Fe, Co, Cu, Mn)",Pharmaceutical,sulfamethazine,PMS,Non-radical,1O2; O2•−,1O2,,,,min-1,,graphitic N; MN4; structural defects,False,False
Co3O4-electronic-structure-tuning-via-Se-doping-for-perox_2023_Separation-an,Co3O4 electronic-structure tuning via Se doping for peroxymonosulfate activation: Synergy of reactive-oxygen species generation and adsorption-desorption strength,Separation and Purification Technology,2023,10.1016/j.seppur.2023.124933,Metal oxide,Se-doped Co3O4,Antibiotic,levofloxacin,PMS,Radical,SO4•−; •OH; O2•−; 1O2,SO4•−,95.6,25,0.3905,min-1,5,Co2+; oxygen vacancies,False,False
Co3O4-nanosheets-modified-by-Ni-C-nanoparticles-as-effective-_2023_Chemical-,Co3O4 nanosheets modified by Ni@C nanoparticles as effective flow-through electrode for electro-activation of PMS: Ni@C as electron shuttle for accelerated Co3+/Co2+ cycle in bulk Co3O4,,2023,10.1016/j.cej.2023.145084,Metal oxide,Co@FCF,Antibiotic,sulfamethoxazole,PMS,Radical,SO4•−; •OH; 1O2,SO4•−,100,10,0.389,min-1,,Co3+/Co2+; Ni@C nanoparticles,False,True
Co3O4-with-upshifted-d-band-center-and-enlarged-specific-_2023_Journal-of-Ha,Co3O4 with upshifted d-band center and enlarged specific surface area by single-atom Zr doping for enhanced PMS activation,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.130987,Metal oxide,8Zr-Co3O4,Phenolic compound,phenol,PMS,Radical,SO4•−; •OH; 1O2,,100,15,0.31,min-1,5,Co(II)/Co(III) redox couple; upshifted d-band center of Co sites,False,False
Cobalt-leaching-inhibition--Transforming-coordination-polymers_2024_Applied-,Cobalt leaching inhibition: Transforming coordination polymers into spherical Co3O4@NC catalysts for accelerated tetracycline degradation via enhanced PMS activation,Applied Surface Science,2023,10.1016/j.apsusc.2023.158980,MOF-derived,Co3O4@NC,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; O2•−; 1O2,,90,5,0.274,min-1,5,Co(II)/Co(III); graphite N; nitrogen-doped carbon framework,False,False
Coupling-ultrafine-plasmonic-Co3O4-with-thin-layer-carbon-o_2023_Journal-of-,Coupling ultrafine plasmonic Co3O4 with thin-layer carbon over SiO2 nanosphere for dual-functional PMS activation and solar interfacial water evaporation,Journal of Alloys and Compounds,2023,10.1016/j.jallcom.2023.168816,MOF-derived,SiO2@Co/C-600,Phenolic compound,bisphenol A,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,100,9,0.722,min-1,,Co(II)/Co(III); pyridine N; ultrafine Co3O4 nanoparticles,True,False
Critical-impact-of-pyrolysis-temperatures-on-biochars-for-pe_2023_Chemical-E,"Critical impact of pyrolysis temperatures on biochars for peroxymonosulfate activation: Structural characteristics, degradation performance and mechanism",,2023,10.1016/j.cej.2023.147274,Biochar,Pine needle derived biochar,Antibiotic,Enrofloxacin,PMS,Both,1O2,1O2,97.7,180,,min-1,3,C=O; persistent free radicals; graphitic structure,False,False
Cu-doped-CoOOH-activates-peroxymonosulfate-to-generate-hi_2024_Applied-Catal,Cu-doped CoOOH activates peroxymonosulfate to generate high-valent cobalt-oxo species to degrade organic pollutants in saline environments,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123224,Metal oxide,CoCu10,Antibiotic,tetracycline,PMS,Non-radical,Co(IV)=O,Co(IV)=O,97.7,10,0.6482,min-1,8,surface hydroxyls,False,False
Cu-doped-Fe2O3-growing-a-nickel-foam-for-sulfadiazine-degrada_2023_Chemical-,"Cu doped Fe2O3 growing a nickel foam for sulfadiazine degradation in peroxymonosulfate asssting photo-electrochemical system: Performance, mechanism and degradation pathway",,2023,10.1016/j.cej.2023.143013,Metal oxide,Cu doped Fe2O3/NF,Antibiotic,sulfadiazine,PMS,Radical,•OH; O2•−; h+,O2•−,100,10,0.413,min-1,5,Fe²⁺; Cu⁺; Ni²⁺; oxygen vacancies,True,True
Directional-electron-transfer-in-single-atom-cobalt-n_2023_Applied-Catalysis,Directional electron transfer in single-atom cobalt nanozyme for enhanced photo-Fenton-like reaction,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.122882,SAC,EMSA-Co-g-C3N4,Phenolic compound,bisphenol A,PS,Radical,SO4•−; •OH; O2•−,SO4•− and •OH,100,10,0.363,min-1,5,Co-N4,True,False
Efficient-activation-of-peroxymonosulfate-by-Fe-single-atom-_2024_Journal-of,Efficient activation of peroxymonosulfate by Fe single-atom: The key role of Fe-pyrrolic nitrogen coordination in generating singlet oxygen and high-valent Fe species,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.132753,SAC,Fe/NC-SACs,Antibiotic,sulfamethoxazole,PMS,Non-radical,1O2; Fe IV=O,1O2,98.2,5,0.506,min-1,3,Fe-pyrrolic N4; Fe single atom; C atoms adjacent to pyrrolic N,False,False
Efficient-degradation-of-rhodamine-B-by-MoS2-m_2024_Colloids-and-Surfaces-A-,Efficient degradation of rhodamine B by MoS2 modified Co-MOF derived nitrogen-doped carbon activated peroxymonosulfate,,2023,,MOF-derived,MoS2 modified Co-MOF derived nitrogen-doped carbon,Dye,rhodamine B,PMS,Both,SO4•−; •OH; O2•−; 1O2,1O2,97.19,30,0.3329,min-1,5,Co²⁺/Co³⁺; Mo⁴⁺/Mo⁶⁺; graphitic N; pyridinic N; pyrrolic N; unsaturated edge S,False,False
Efficient-emerging-contaminants--EM--decomposition-via-peroxymon_2023_Journa,Efficient emerging contaminants (EM) decomposition via peroxymonosulfate (PMS) activation by Co3O4/carbonized polyaniline (CPANI) composite: Characterization of tetracycline (TC) degradation property and application for the remediation of EM-polluted water body,,2023,10.1016/j.jclepro.2023.137023,Carbon-based,Co3O4/carbonized polyaniline,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,92.11,40,0.09033,min-1,5,C=O groups; oxygen vacancies (Ovs); Co2+/Co3+ redox pairs; graphitic N,False,False
Efficient-removal-of-tetrabromobisphenol-A-through-persulfa_2023_Applied-Sur,Efficient removal of tetrabromobisphenol A through persulfate activation by α-MnO2 nanofiber coated with graphene oxide,,2023,10.1016/j.apsusc.2023.158445,Metal oxide,α-MnO2@GO,Other,tetrabromobisphenol A,PMS,Radical,SO4•−; •OH; 1O2; O2•−,•OH,100,20,0.115,min-1,,Mn(III)/Mn(IV); oxygen vacancies; graphene shell,False,False
Elucidation-of-the-mechanistic-origin-of-spin-state-depende_2024_Applied-Cat,Elucidation of the mechanistic origin of spin-state-dependent P-doped Fe single-atom catalysts for the oxidation of organic pollutants through peroxymonosulfate activation,Applied Catalysis B: Environmental,2023,10.1016/j.apcatb.2023.123289,SAC,Fe-PNC,Phenolic compound,bisphenol A,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,,100,6,0.378,min-1,4,Fe-N4P2,False,False
Enhanced-PMS-activation-by-MOF-derived-Co3O4-sepiolite_2023_Process-Safety-a,"Enhanced PMS activation by MOF-derived Co3O4/sepiolite composite for norfloxacin degradation: Performance, mechanism and degradation pathway",,2023,10.1016/j.psep.2023.06.015,MOF-derived,Co3O4/sepiolite,Antibiotic,norfloxacin,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,92.4,40,0.2558,min-1,4,Co(II)/Co(III) redox cycle; surface -OH groups,False,False
Enhanced-catalytic-degradation-of-antibiotics-by-peanut_2023_Process-Safety-,Enhanced catalytic degradation of antibiotics by peanut shell-derived biochar-Co3O4 activated peroxymonosulfate: An experimental and mechanistic study,,2023,10.1016/j.psep.2023.01.036,Biochar,peanut shell-derived biochar-Co3O4,Antibiotic,ofloxacin,PMS,Both,SO4•−; •OH; 1O2; O2•−,SO4•− and 1O2,97.3,,0.141,min-1,4,Co2+/Co3+ redox cycle; C=O groups; graphitized structure,False,False
